1	Jacobs, T.	m	29	5	3.5999999046325684
2	Pierson, E.	m	32	5	3.5
3	Zeene, Ben N.	m	21	5	3.9000000953674316
4	Sulfate, Barry M.	m	19	2	2.7999999523162842
5	Form, Clara O.	f	18	1	3.2999999523162842
6	Scott, Kim J.	m	20	1	3.7999999523162842
7	Sather, Roberto B.	m	22	4	2.2000000476837158
8	Stanley, Leotha T.	m	21	3	3.5999999046325684
9	Smith, Joyce A.	f	21	4	2.0
10	Jones, David S.	m	19	2	3.5
11	Paul, Mary W.	f	23	5	3.5999999046325684
12	Soong, V.	f	24	5	3.5
13	Kellerman, S.	f	21	3	2.9000000953674316
14	Cheong, R.	m	25	4	3.0
15	Borchart, Sandra L.	f	26	5	3.9000000953674316
16	Alsberg, David J.	m	25	5	3.5
17	Thorton, James Q.	m	28	4	2.7000000476837158
18	Gooch	m	26	1	1.3999999761581421
19	Smith, L.	m	43	4	.69999998807907104
20	Korpel, E.	f	19	3	3.5
21	Surk, K.	m	23	2	2.5
22	Emile, R.	m	18	1	2.0
23	Bomber, C.	f	22	4	3.2000000476837158
24	Carter, Jimmy	m	56	5	3.5
25	Kissinger, Henry	m	58	5	3.4000000953674316
26	Ford, Gerald	m	60	5	3.5
27	Anderson, P.	f	18	1	3.2000000476837158
28	Austin, G.	m	25	5	3.5
29	Hamilton, S.	m	21	3	2.7999999523162842
30	Baker, C.	f	18	1	3.5
31	Andrews, R.	m	19	2	2.7999999523162842
32	Liu, Huihusan	m	29	5	3.9000000953674316
33	Chao, Tsechih	f	23	5	3.5999999046325684
34	Kasten, Norman L.	m	23	2	2.5
35	Mathews, John W.	m	29	5	3.5999999046325684
36	Burroughs, Susan S.	f	18	1	3.0
37	Dunbar, D.	m	30	5	3.4000000953674316
38	Auen, B.	m	21	3	2.7000000476837158
39	Shoemaker, A.	f	22	4	3.5
40	Rosemeyer, S.	f	21	3	2.9000000953674316
41	Fisher, C.	f	22	4	3.5
42	Trude, T.	m	19	2	2.9000000953674316
43	Ksar, J.	m	20	3	3.4000000953674316
44	Moeri, S.	f	20	4	3.2000000476837158
45	June, Granson	f	18	1	3.0999999046325684
46	Micheal, Zadicki T.	m	22	2	2.7000000476837158
47	Roger, Blotter N.	m	21	3	1.8999999761581421
48	Natividad, A.	f	25	5	4.0
49	Villa-lobos, M.	m	47	5	3.7000000476837158
50	Moomchi, B.	m	32	5	3.5
51	Jetplane, Leaving O.	m	30	1	0.0
52	Fy, Clara I.	f	18	2	2.0
53	Atny, Mary H.	f	26	5	3.7999999523162842
54	Maximillian	m	98	5	3.0
55	Glitch, R.	m	19	1	2.7999999523162842
56	Starry, J.	f	22	4	3.2999999523162842
57	Hiemerschmitz, A.	f	19	1	2.7000000476837158
58	Marshmallton	m	20	3	3.0
59	Ziebart, F.	m	22	4	1.7999999523162842
60	Calcmity, J.	f	23	3	2.5999999046325684
61	Kennedy, Ed	m	55	3	2.2999999523162842
62	Moses, A.	m	18	1	3.2000000476837158
63	Kool, Joseph F.	m	35	5	3.7000000476837158
64	Fred, Edwin B.	m	80	5	4.0
65	Ripper, Jack T.	m	18	1	.5
66	Altenhaus, Stuart	m	21	4	2.7999999523162842
67	Altenhaus, Gloria	f	22	5	4.0
68	Crist, J.	m	23	4	3.0
69	Heilskov, G.	m	23	4	2.5
70	Caucutt, B.	m	24	5	3.0
71	Mark, B.	m	24	4	3.5999999046325684
72	Barnes, J.	m	45	5	2.2999999523162842
73	Quarnty, G.	f	20	2	4.0
74	Andrus, J.	f	21	3	3.7000000476837158
75	Jones, A.	f	23	5	3.2000000476837158
76	Zorhoff, C.	m	20	3	3.0
77	Paull, Thomas H.	m	23	4	2.5999999046325684
78	Cool, J.	m	18	2	2.5999999046325684
79	Evert, Chris	f	21	4	3.9000000953674316
80	Connors, Jimmy	m	25	1	.20000000298023224
81	Smith, Ike Z.	m	33	1	1.1000000238418579
82	News, Nightly	m	15	1	1.8999999761581421
83	Jones, Ivan L.	m	55	5	3.5
84	Smith, R.	m	19	3	2.7000000476837158
85	Mayer, N.	f	21	5	3.5
86	Gonring, J.	m	21	4	3.7000000476837158
87	Mueller, D.	m	20	3	3.2999999523162842
88	Bates, M.	m	22	4	3.2999999523162842
89	Longlastname, A.	f	99	5	4.0
90	Zappa, F.	m	16	4	4.0
91	Ghandi, I.	f	78	1	3.5
92	Kirk, J.	m	34	5	2.2000000476837158
93	Andermanthenol, K.	m	26	5	3.7000000476837158
94	Uoiea, Z.	f	19	2	3.2999999523162842
95	Grzlbltz, Q.	m	43	5	2.5
96	Birch, M.	f	23	5	3.5
97	Morgan, D.	m	18	1	3.5
98	Taylor, R.	m	20	3	2.7999999523162842
99	Jones, J.	f	21	1	1.1000000238418579
100	Gringo, C.	m	25	5	2.9000000953674316
101	Davis, Scott P.	m	19	3	3.7000000476837158
102	Bates, Michael L.	m	22	4	3.4000000953674316
103	Kaisler, Janet M.	f	21	4	3.5
104	Baskett, Wayse T.	m	23	3	2.0999999046325684
